,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW,Cumulative_capacity_kW
BECCS,0.027498783754646716,14,500000,2012,International Power/Mitsui,500000,500000
Hydro,0.041401582813000104,5,10000,2012,Scottish Power Hydro schemes: Galloway,50000,510000
Hydro,0.041401582813000104,6,10000,2012,Magnox North Ltd,40000,520000
Hydro,0.041401582813000104,9,10000,2012,Great Glen,30000,530000
Hydro,0.041401582813000104,30,10000,2012,Scottish and Southern Hydro Schemes: Affric/Beauly,20000,540000
Hydro,0.041401582813000104,30,10000,2012,Lanark,10000,550000
Hydro,0.041401582813000104,4,10000,2012,Shin,60000,560000
Wind Onshore,0.05320694803182193,14,30000,2014,Infinis Windfarm,90000,590000
Wind Onshore,0.05320694803182193,15,30000,2014,Npower Renewables Ltd,60000,620000
Wind Onshore,0.05320694803182193,19,30000,2014,Kirkheaton Wind Ltd,30000,650000
Wind Onshore,0.05320694803182193,13,30000,2014,Great Orton Windfarm Ltd,150000,680000
Wind Onshore,0.05320694803182193,11,30000,2014,E.On UK,180000,710000
Wind Onshore,0.05320694803182193,19,30000,2014,Cemmaes Windfarm Ldt,210000,740000
Wind Onshore,0.05320694803182193,5,30000,2014,High Hedley Hope Wind Ltd,240000,770000
Wind Onshore,0.05320694803182193,20,30000,2014,Beaufort Wind Ltd,270000,800000
Wind Onshore,0.05320694803182193,17,30000,2014,Wind,390000,830000
Wind Onshore,0.05320694803182193,29,30000,2014,Yorkshire Windpower Ltd,330000,860000
Wind Onshore,0.05320694803182193,4,30000,2014,Bares of Doune Windfarm,360000,890000
Wind Onshore,0.05320694803182193,13,30000,2014,K/S Winscales,420000,920000
Wind Onshore,0.05320694803182193,22,30000,2014,Dong Energy,450000,950000
Wind Onshore,0.05320694803182193,17,30000,2014,Fred Olsen,480000,980000
Wind Onshore,0.05320694803182193,22,30000,2014,GDF Suez,510000,1010000
Wind Onshore,0.05320694803182193,19,30000,2014,Distributed Generation,540000,1040000
Wind Onshore,0.05320694803182193,9,30000,2014,Centrica,300000,1070000
Wind Onshore,0.05320694803182193,22,30000,2014,EDF Energy Renewable,120000,1100000
Solar,0.07978606893711651,7,100000,2011,Distributed Generation,100000,1200000
Wind Offshore,0.08242145650055531,20,50000,2015,Distributed Generation,50000,1250000
Wind Offshore,0.08242145650055531,20,50000,2015,E.On UK,100000,1300000
Wind Offshore,0.08242145650055531,13,50000,2015,Beaufort Wind Ltd,150000,1350000
Wind Offshore,0.08242145650055531,1,50000,2015,Centrica,200000,1400000
Wind Offshore,0.08242145650055531,15,50000,2015,Npower Renewables Ltd,250000,1450000
Wind Offshore,0.08242145650055531,27,50000,2015,Vattenfall Wind Power,300000,1500000
Wind Offshore,0.08242145650055531,19,50000,2015,Talisman Energy,350000,1550000
Nuclear,0.09072578744091572,20,1000000,2018,British Energy,1000000,2550000
Hydrogen,181.84486852499614,12,500000,2013,EDF Energy,500000,3050000
Wind Offshore,662.8047239986947,13,50000,2015,RES-Gen Ltd,400000,3100000
Wind Offshore,662.8047239986947,16,50000,2015,Bares of Doune Windfarm,950000,3150000
Wind Offshore,662.8047239986947,11,50000,2015,Fred Olsen,500000,3200000
Wind Offshore,662.8047239986947,19,50000,2015,Kirkheaton Wind Ltd,550000,3250000
Wind Offshore,662.8047239986947,10,50000,2015,Infinis Windfarm,600000,3300000
Wind Offshore,662.8047239986947,30,50000,2015,Cemmaes Windfarm Ldt,650000,3350000
Wind Offshore,662.8047239986947,13,50000,2015,Cold Northcott Windfarm Ltd,700000,3400000
Wind Offshore,662.8047239986947,11,50000,2015,Wind,750000,3450000
Wind Offshore,662.8047239986947,1,50000,2015,Statkraft Energy Ltd,800000,3500000
Wind Offshore,662.8047239986947,26,50000,2015,Fenland Windfarms Ltd,850000,3550000
Wind Offshore,662.8047239986947,16,50000,2015,High Hedley Hope Wind Ltd,900000,3600000
Wind Offshore,662.8047239986947,16,50000,2015,Llangwyryfon Windfarm Ltd,1000000,3650000
Wind Offshore,662.8047239986947,11,50000,2015,K/S Winscales,450000,3700000
