,Wind Offshore,Wind Onshore,Solar,Hydro
0,4421927.2978125,14990429.269894747,0.0,566212.0
1,4445592.090375001,14829661.049210541,0.0,558192.0
2,4421354.335625,14247425.693368407,0.0,531726.0
3,4389887.9503125,14182185.084157877,0.0,449120.0
4,4342350.702749999,13822365.618947376,0.0,436288.0
5,4275665.4660625,13352872.6615263,0.0,423456.0
6,4216703.294312499,12099418.728157898,249.53846153846155,441902.0
7,4222445.131625,11101504.694210514,0.0,697740.0
8,3972658.630437501,9947353.518473692,343.1153846153847,604708.0
9,3592342.0359374997,9615914.659421042,20368.576923076922,815634.0
10,3508629.64275,9444954.899368428,48441.653846153844,999292.0
11,3393131.5178125002,9399077.913789455,80164.23076923077,984054.0
12,3161294.1478124997,9396849.2674737,115723.46153846152,866962.0
13,2408581.7975000003,8795090.668736855,93732.88461538464,873378.0
14,2343438.0326874997,9560355.10910527,65566.23076923077,769118.0
15,2264515.254375,10554472.91510527,15752.115384615383,811624.0
16,2667204.1318124994,12025106.926105272,62.38461538461539,1168514.0
17,3556912.0319999997,12612245.303842098,31.192307692307693,1138840.0
18,3344265.1143124998,13422587.127631571,0.0,1141246.0
19,3699715.7315625,13664938.861894755,0.0,969618.0
20,4032755.0928125,14528069.486526316,0.0,795584.0
21,3968601.3601250006,14070966.597947385,0.0,644006.0
22,4056054.0039374996,13242166.161631595,0.0,502052.0
23,4117029.9778124997,12687835.565842094,0.0,505260.0
24,3872782.305,12051931.997368423,0.0,501250.0
25,3867833.30775,10219013.457631586,0.0,499646.0
26,3721469.0989999995,8497519.704473669,0.0,447516.0
27,3340576.0521875,6853222.9468421,0.0,411426.0
28,3157787.7355624996,6038449.429736836,0.0,401000.0
29,2895464.1236874997,6151496.008263163,0.0,394584.0
30,2988146.7198124994,6450167.743105269,0.0,392980.0
31,2702897.0585000007,7896643.529210515,0.0,410624.0
32,2793656.0140625,9436332.447473697,280.7307692307692,613530.0
33,3028911.9614999997,11102884.045578944,2869.6923076923076,880596.0
34,2667130.8391875,13063404.633631602,10979.69230769231,822852.0
35,2833835.4964375,13862214.718578968,21023.615384615383,769920.0
36,3443007.1491250005,15710583.198315809,29882.230769230766,751474.0
37,3839103.1804375006,15377834.256631596,31847.34615384616,704156.0
38,4100805.5500625,15525144.76642108,14254.884615384617,704958.0
39,4166959.1243749997,15143802.299999982,1715.5769230769229,765108.0
40,3548582.267,12337632.408315767,655.0384615384614,1146058.0
41,3789329.3444375005,11599757.729999997,218.34615384615387,1168514.0
42,3754067.4481875002,10788611.786526302,0.0,1130018.0
43,3886500.823,11659569.778421056,0.0,1060244.0
44,4069547.4088750007,12665372.91915791,0.0,827664.0
45,4111730.8046875,13986190.69910525,0.0,742652.0
46,3769483.3303125,14567033.151000012,0.0,704156.0
47,3665162.3306875005,14634874.349526297,0.0,730622.0
48,3655554.0165625,14842906.436368428,0.0,708166.0
49,3600923.6716250004,15847083.267631564,0.0,649620.0
50,3676242.3141875,16362813.10689471,0.0,543756.0
51,3636827.7508749994,16167038.574789468,0.0,530924.0
52,3862223.5135000004,15875248.538368396,0.0,506864.0
53,4084250.142125,15263787.798947345,0.0,516488.0
54,3947226.0895625,15029549.541947369,0.0,544558.0
55,3948241.7159375,14736610.547999991,0.0,509270.0
56,4217787.5598125,14959503.790578932,1029.3461538461538,645610.0
57,4281765.622875,15556397.013473684,37680.30769230768,901448.0
58,4260520.6503125,15752067.642473677,88274.23076923078,930320.0
59,4316492.366625,16418719.00089475,111356.53846153848,727414.0
60,4353405.673687499,15838525.566947388,125393.07692307694,725008.0
61,4410487.24975,16120488.477789488,95510.84615384616,685710.0
62,4435703.984562499,16135165.920789454,48129.73076923076,691324.0
63,4429575.906749999,14950961.148315804,6363.2307692307695,704958.0
64,4402555.358999999,14822092.686789453,436.69230769230774,1130820.0
65,4435795.8911875,13724288.616789473,311.9230769230769,1328914.0
66,4426260.8696874995,13501374.292421035,31.192307692307693,1261546.0
67,4382388.835062501,13699309.707947377,0.0,938340.0
68,4423608.3746875,13819993.917631587,0.0,809218.0
69,4406940.119375001,13583176.15310525,0.0,789970.0
70,4342964.964750001,12636367.388526319,0.0,727414.0
71,4271378.4291875,11168096.043789467,0.0,689720.0
72,4123632.1309375,9081861.733421061,0.0,667264.0
73,4075313.6770624993,7799542.3127368335,0.0,648818.0
74,3759951.7989374995,6033977.0786842145,0.0,571024.0
75,3402415.2503124997,5004771.645789469,0.0,503656.0
76,2637856.252375,4745298.486789478,0.0,496438.0
77,2464327.8190625003,4809939.770842102,0.0,534934.0
78,2115106.4932500003,5582355.455368425,0.0,528518.0
79,1573707.8328749998,6026688.802894736,0.0,592678.0
80,1539719.83225,5870590.198578942,3992.6153846153848,694532.0
