,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,3,250000,212500.0,2050,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,30,250000,212500.0,2050,False,E.On UK,500000,425000.0
CCGT,0,14,250000,212500.0,2050,False,Barking Power,750000,637500.0
CCGT,0,8,250000,212500.0,2050,False,Corby Power Ltd,1000000,850000.0
CCGT,0,1,250000,212500.0,2050,False,Cory Energy Company Ltd,1250000,1062500.0
CCGT,0,9,250000,212500.0,2050,False,Centrica,1500000,1275000.0
OCGT,0,5,500000,460000.0,2049,False,Citigen (London) UK Ltd,500000,1735000.0
OCGT,0,5,500000,460000.0,2049,False,Drax Power Ltd,1000000,2195000.0
Hydrogen,0,16,500000,425000.0,2050,False,EDF Energy,500000,2620000.0
Biomass,0,19,14000,12320.0,2049,False,E.On UK,14000,2632320.0
Biomass,0,4,14000,12320.0,2049,False,Sembcorp Utilities (UK) Ltd,28000,2644640.0
Biomass,0,13,14000,12320.0,2049,False,EPR Ely Limited,42000,2656960.0
BECCS,0,2,500000,440000.0,2049,False,International Power/Mitsui,500000,3096960.0
CCGT,27.80204308255911,4,250000,212500.0,2050,False,Derwent Cogeneration,1750000,3309460.0
CCGT,75,10,250000,212500.0,2050,False,EDF Energy,2000000,3521960.0
