,GB Electricity Demand,Demand - Renewables,Demand - Renewables - Battery,Peak: 55.76 GW,Peak - Renewables: 36.82 GW,Peak - Renewables - Battery: 33.77 GW,Battery Charge/Discharge
0,29832190.17288444,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
1,30122093.721565057,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
2,28940179.253867157,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
3,27893181.437670603,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
4,26672241.492265698,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
5,26595863.057324838,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
6,27786697.634212926,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
7,27449406.005459506,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
8,28578914.831665143,0.0,2700074.337633714,55755700.0,36824461.25484094,33768024.438350946,-2700074.337633714
9,31654122.474977247,4049034.7564765513,5039868.17365352,55755700.0,36824461.25484094,33768024.438350946,-990833.4171769684
10,34665216.83348499,7275226.061059773,6904169.910310698,55755700.0,36824461.25484094,33768024.438350946,371056.1507490752
11,37265986.16924477,10178269.480871107,8581735.924904073,55755700.0,36824461.25484094,33768024.438350946,1596533.5559670348
12,38922338.944495,12439761.15580336,9888571.899268776,55755700.0,36824461.25484094,33768024.438350946,2551189.256534584
13,38983107.18835305,14555034.391242296,11110913.414085643,55755700.0,36824461.25484094,33768024.438350946,3444120.977156652
14,38632992.90263876,14208684.881577902,10910770.294413727,55755700.0,36824461.25484094,33768024.438350946,3297914.5871641748
15,38890003.54868062,14424553.55595459,11035513.158842947,55755700.0,36824461.25484094,33768024.438350946,3389040.397111643
16,42187656.414922655,16281923.55998943,12108821.526892258,55755700.0,36824461.25484094,33768024.438350946,4173102.033097172
17,43956068.06187444,15659580.205685146,11749191.33553371,55755700.0,36824461.25484094,33768024.438350946,3910388.870151436
18,42401739.03548679,14448051.95592852,11889895.327979883,55755700.0,36824461.25484094,33768024.438350946,2558156.627948636
19,40334503.73066423,11453779.013648674,11453779.013648674,55755700.0,36824461.25484094,33768024.438350946,0.0
20,37685231.30118288,7784856.275551926,7784856.275551926,55755700.0,36824461.25484094,33768024.438350946,0.0
21,35059374.158325754,5460359.140847161,5855422.569646988,55755700.0,36824461.25484094,33768024.438350946,-395063.42879982665
22,31896080.43676069,2302164.3371476755,4030413.6035406673,55755700.0,36824461.25484094,33768024.438350946,-1728249.2663929919
23,29887383.34849863,272162.6467987299,2857347.495725508,55755700.0,36824461.25484094,33768024.438350946,-2585184.848926778
24,29632045.222929936,790027.792817831,4865686.507803749,55755700.0,36824461.25484094,33768024.438350946,-4075658.7149859183
25,29808774.886260234,1422066.4494938403,5284256.279625683,55755700.0,36824461.25484094,33768024.438350946,-3862189.8301318428
26,29308691.26478617,1718233.053731747,5480393.630795146,55755700.0,36824461.25484094,33768024.438350946,-3762160.5770633994
27,29281373.430391263,3059835.3049501106,6368874.330886438,55755700.0,36824461.25484094,33768024.438350946,-3309039.025936327
28,29077325.932666063,3517631.285883978,6672051.292068283,55755700.0,36824461.25484094,33768024.438350946,-3154420.006184305
29,29885153.321201093,4964122.6657536775,7629995.177967049,55755700.0,36824461.25484094,33768024.438350946,-2665872.5122133717
30,33269777.25204731,8042082.9248436205,9668384.934220007,55755700.0,36824461.25484094,33768024.438350946,-1626302.0093763862
31,38014717.834394895,13157378.954823263,13043379.510536682,55755700.0,36824461.25484094,33768024.438350946,113999.44428658113
32,41660812.46587808,16163686.906135857,14908933.733185679,55755700.0,36824461.25484094,33768024.438350946,1254753.1729501784
33,44796788.35304822,18250728.34186171,16204040.231361229,55755700.0,36824461.25484094,33768024.438350946,2046688.110500481
34,46327144.58598727,20234323.49624998,17434953.489824783,55755700.0,36824461.25484094,33768024.438350946,2799370.006425198
35,47069743.67606914,20370204.796685815,17519274.17084366,55755700.0,36824461.25484094,33768024.438350946,2850930.625842154
36,47727601.728844404,19040424.72750078,16694083.650298534,55755700.0,36824461.25484094,33768024.438350946,2346341.0772022475
37,47535261.8744313,17933281.371431895,16007049.58843861,55755700.0,36824461.25484094,33768024.438350946,1926231.782993285
38,46803812.920837134,16505353.80826946,15120953.972741116,55755700.0,36824461.25484094,33768024.438350946,1384399.835528344
39,47146122.11101001,16762509.302576449,15280530.944246097,55755700.0,36824461.25484094,33768024.438350946,1481978.3583303522
