,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,28,250000,212500.0,2019,False,Derwent Cogeneration,250000,212500.0
CCGT,0,10,250000,212500.0,2019,False,Baglan Generation Ltd,500000,425000.0
CCGT,0,8,250000,212500.0,2019,False,Rocksavage Power Co. Ltd,750000,637500.0
CCGT,0,1,250000,212500.0,2019,False,International Power/Mitsui,1000000,850000.0
CCGT,0,25,250000,212500.0,2019,False,Cory Energy Company Ltd,1250000,1062500.0
CCGT,0,1,250000,212500.0,2019,False,Centrica,1500000,1275000.0
CCGT,0,1,250000,212500.0,2019,False,RWE Npower Plc,1750000,1487500.0
CCGT,0,26,250000,212500.0,2019,False,Marchwood Power Limited,2000000,1700000.0
Biomass,0,13,14000,12320.0,2018,False,Sembcorp Utilities (UK) Ltd,14000,1712320.0
Biomass,0,18,14000,12320.0,2018,False,EPR Ely Limited,28000,1724640.0
Biomass,0,30,14000,12320.0,2018,False,E.On UK,42000,1736960.0
OCGT,75,17,500000,460000.0,2018,False,Citigen (London) UK Ltd,500000,2196960.0
OCGT,75,5,500000,460000.0,2018,False,Drax Power Ltd,1000000,2656960.0
