,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,4,250000,212500.0,2025,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,20,250000,212500.0,2025,False,EDF Energy,500000,425000.0
CCGT,0,14,250000,212500.0,2025,False,Corby Power Ltd,750000,637500.0
CCGT,0,13,250000,212500.0,2025,False,E.On UK,1000000,850000.0
CCGT,0,22,250000,212500.0,2025,False,GDF Suez,1250000,1062500.0
CCGT,0,6,250000,212500.0,2025,False,Centrica,1500000,1275000.0
CCGT,0,6,250000,212500.0,2025,False,Derwent Cogeneration,1750000,1487500.0
CCGT,0,12,250000,212500.0,2025,False,Cory Energy Company Ltd,2000000,1700000.0
Biomass,0,4,14000,12320.0,2024,False,Sembcorp Utilities (UK) Ltd,14000,1712320.0
Biomass,0,10,14000,12320.0,2024,False,E.On UK,28000,1724640.0
Biomass,0,14,14000,12320.0,2024,False,EPR Ely Limited,42000,1736960.0
OCGT,75,15,500000,460000.0,2024,False,Citigen (London) UK Ltd,500000,2196960.0
OCGT,75,18,500000,460000.0,2024,False,Drax Power Ltd,1000000,2656960.0
