,GB Electricity Demand,Demand - Renewables,Demand - Renewables - Battery,Peak: 59.66 GW,Peak - Renewables: 43.83 GW,Peak - Renewables - Battery: 42.78 GW,Battery Charge/Discharge
0,31920979.071883526,9978283.086197406,10861261.26287449,59659600.0,43828845.144768104,42779637.1541235,-882978.1766770836
1,32231181.073703364,10310207.401367597,11143853.931705361,59659600.0,43828845.144768104,42779637.1541235,-833646.530337764
2,30966511.37397635,9255404.094694637,10245818.843882691,59659600.0,43828845.144768104,42779637.1541235,-990414.7491880544
3,29846204.91355778,8266728.095670082,9404083.013140276,59659600.0,43828845.144768104,42779637.1541235,-1137354.9174701944
4,28539777.252047315,7126313.778096631,8433160.694867851,59659600.0,43828845.144768104,42779637.1541235,-1306846.91677122
5,28458050.955414016,7263267.368001107,8549759.807099903,59659600.0,43828845.144768104,42779637.1541235,-1286492.4390987959
6,29732265.33212011,8927725.757615797,9966841.102388533,59659600.0,43828845.144768104,42779637.1541235,-1039115.3447727356
7,29371357.233848955,8592775.487858191,9681672.205955338,59659600.0,43828845.144768104,42779637.1541235,-1088896.7180971466
8,30579951.956323933,10499079.980080996,11304655.667668037,59659600.0,43828845.144768104,42779637.1541235,-805575.6875870414
9,33870479.34485896,14107147.22617295,14376480.49578167,59659600.0,43828845.144768104,42779637.1541235,-269333.2696087193
10,37092404.36760692,17252416.355187252,17054289.73342004,59659600.0,43828845.144768104,42779637.1541235,198126.6217672117
11,39875274.24931755,20139282.97201637,19512101.061253052,59659600.0,43828845.144768104,42779637.1541235,627181.9107633196
12,41647601.45586897,22231269.263777986,21293169.70349279,59659600.0,43828845.144768104,42779637.1541235,938099.5602851957
13,41712624.5677889,23409605.40044432,22296377.77961602,59659600.0,43828845.144768104,42779637.1541235,1113227.6208283007
14,41337995.996360324,23060363.574584752,21999041.383557115,59659600.0,43828845.144768104,42779637.1541235,1061322.1910276376
15,41613002.00181984,23224003.40339087,22138360.541075412,59659600.0,43828845.144768104,42779637.1541235,1085642.8623154573
16,45141549.772520475,25572054.38633094,24137436.726499733,59659600.0,43828845.144768104,42779637.1541235,1434617.6598312072
17,47033781.98362148,26253304.867081344,24717437.596272897,59659600.0,43828845.144768104,42779637.1541235,1535867.2708084472
18,45370622.02001819,24629083.21420165,23334612.926062077,59659600.0,43828845.144768104,42779637.1541235,1294470.2881395742
19,43158643.130118296,22078013.08988718,21725914.326044753,59659600.0,43828845.144768104,42779637.1541235,352098.76384242624
20,40323874.06733394,18767158.246272027,18767158.246272027,59659600.0,43828845.144768104,42779637.1541235,0.0
21,37514159.78161965,16297227.52736247,16297227.52736247,59659600.0,43828845.144768104,42779637.1541235,0.0
