,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW,Cumulative_capacity_kW
Nuclear,0.07918273109359762,27,1000000,2048,British Energy,1000000,1000000
BECCS,0.08470660219035406,18,500000,2042,International Power/Mitsui,500000,1500000
