bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,117647,0.0,CCGT,3,99999.95,0,8,0.0
0.0,250000,14.0,OCGT,2,230000.0,0,17,0.0
0.0,117647,32.0,CCGT,3,99999.95,0,17,0.0
0.0,250000,59.0,OCGT,2,230000.0,0,27,0.0
0.0,117647,26.0,CCGT,3,99999.95,0,26,0.0
0.0,250000,49.0,OCGT,2,230000.0,0,2,0.0
0.0,250000,37.0,OCGT,2,230000.0,0,9,0.0
0.0,117647,14.0,CCGT,3,99999.95,0,14,0.0
0.0,117647,37.0,CCGT,3,99999.95,0,13,0.0
0.0,250000,7.0,OCGT,2,230000.0,0,13,0.0
0.0,250000,27.0,OCGT,2,230000.0,0,28,0.0
0.0,117647,27.0,CCGT,3,99999.95,0,4,0.0
0.0,250000,54.0,OCGT,2,230000.0,0,13,0.0
