Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,637500.0,920000.0,0,0.0,84000.0,10200.0,0.0,179760.0,73920.0,0.0,0.0,0,750000,1000000,0,0.0,350000,60000.0,300000.0,214000.0,84000,0,0,0
2,850000.0,0.0,0,0.0,0.0,25500.0,0.0,0.0,24640.0,440000.0,0.0,0,1000000,0,0,0.0,0,150000.0,0.0,0.0,28000,500000,0,0
3,637500.0,460000.0,0,0.0,0.0,10200.0,0.0,58800.0,12320.0,0.0,425000.0,0,750000,500000,0,0.0,0,60000.0,0.0,70000.0,14000,0,500000,0
4,1487500.0,0.0,0,0.0,0.0,30600.0,0.0,33600.0,61600.0,0.0,425000.0,0,1750000,0,0,0.0,0,180000.0,200000.0,40000.0,70000,0,500000,0
5,1062500.0,920000.0,0,0.0,0.0,45900.0,0.0,52080.0,61600.0,0.0,0.0,0,1250000,1000000,0,0.0,0,270000.0,300000.0,62000.0,70000,0,0,0
6,425000.0,0.0,0,0.0,0.0,25500.0,0.0,36120.0,49280.0,0.0,425000.0,0,500000,0,0,0.0,0,150000.0,0.0,43000.0,56000,0,500000,0
7,1062500.0,0.0,0,1786050.0,96000.0,45900.0,0.0,50400.0,36960.0,0.0,0.0,0,1250000,0,0,2205000.0,400000,270000.0,100000.0,60000.0,42000,0,0,0
8,1062500.0,460000.0,0,0.0,108000.0,15300.0,0.0,58800.0,24640.0,0.0,425000.0,0,1250000,500000,0,0.0,450000,90000.0,0.0,70000.0,28000,0,500000,0
9,637500.0,0.0,0,0.0,0.0,15300.0,0.0,72240.0,36960.0,0.0,0.0,0,750000,0,0,0.0,0,90000.0,300000.0,86000.0,42000,0,0,0
10,2125000.0,460000.0,0,963900.0000000001,84000.0,15300.0,0.0,75600.0,61600.0,440000.0,0.0,0,2500000,500000,0,1190000.0,350000,90000.0,100000.0,90000.0,70000,500000,0,0
11,637500.0,0.0,0,2745900.0,72000.0,25500.0,0.0,0.0,36960.0,0.0,0.0,0,750000,0,0,3390000.0,300000,150000.0,200000.0,0.0,42000,0,0,0
12,1062500.0,460000.0,0,810000.0,60000.0,35700.0,0.0,77280.0,61600.0,440000.0,425000.0,0,1250000,500000,0,1000000.0,250000,210000.0,100000.0,92000.0,70000,500000,500000,0
13,1062500.0,460000.0,0,0.0,60000.0,25500.0,0.0,0.0,73920.0,0.0,0.0,0,1250000,500000,0,0.0,250000,150000.0,0.0,0.0,84000,0,0,0
14,1275000.0,920000.0,0,0.0,0.0,56100.0,0.0,0.0,61600.0,0.0,0.0,0,1500000,1000000,0,0.0,0,330000.0,200000.0,0.0,70000,0,0,0
