,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydro,0.04131021414117759,8,10000,2033,Npower Renewables Ltd,60000
Hydro,0.04131021414117759,7,10000,2033,Conon,50000
Hydro,0.04131021414117759,5,10000,2033,Great Glen,40000
Hydro,0.04131021414117759,1,10000,2033,Breadalbane,30000
Hydro,0.04131021414117759,1,10000,2033,Sloy/Awe,20000
Hydro,0.04131021414117759,3,10000,2033,Scottish and Southern Hydro Schemes: Affric/Beauly,10000
Wind Onshore,0.043941502056974995,23,30000,2035,Kirkheaton Wind Ltd,30000
Wind Onshore,0.043941502056974995,24,30000,2035,Cold Northcott Windfarm Ltd,120000
Wind Onshore,0.043941502056974995,26,30000,2035,Great Orton Windfarm Ltd,150000
Wind Onshore,0.043941502056974995,7,30000,2035,Wind,180000
Wind Onshore,0.043941502056974995,15,30000,2035,RES-Gen Ltd,210000
Wind Onshore,0.043941502056974995,2,30000,2035,Dong Energy,240000
Wind Onshore,0.043941502056974995,16,30000,2035,Bares of Doune Windfarm,270000
Wind Onshore,0.043941502056974995,6,30000,2035,Npower Renewables Ltd,300000
Wind Onshore,0.043941502056974995,4,30000,2035,Llangwyryfon Windfarm Ltd,90000
Wind Onshore,0.043941502056974995,6,30000,2035,Cemmaes Windfarm Ldt,360000
Wind Onshore,0.043941502056974995,18,30000,2035,Yorkshire Windpower Ltd,60000
Wind Onshore,0.043941502056974995,12,30000,2035,HG Capital,420000
Wind Onshore,0.043941502056974995,28,30000,2035,Beaufort Wind Ltd,450000
Wind Onshore,0.043941502056974995,13,30000,2035,Fred Olsen,480000
Wind Onshore,0.043941502056974995,2,30000,2035,K/S Winscales,510000
Wind Onshore,0.043941502056974995,14,30000,2035,Fenland Windfarms Ltd,540000
Wind Onshore,0.043941502056974995,27,30000,2035,Statkraft Energy Ltd,330000
Wind Onshore,0.043941502056974995,6,30000,2035,EDF Energy Renewable,390000
Hydrogen,0.044216939925601585,17,500000,2034,EDF Energy,500000
Solar,0.057831587306327106,23,100000,2032,Distributed Generation,100000
Wind Offshore,0.05940076682973993,26,50000,2036,Distributed Generation,50000
Wind Offshore,0.05940076682973993,12,50000,2036,Npower Renewables Ltd,100000
Wind Offshore,0.05940076682973993,28,50000,2036,RES-Gen Ltd,150000
Wind Offshore,0.05940076682973993,16,50000,2036,Cemmaes Windfarm Ldt,200000
Wind Offshore,0.05940076682973993,16,50000,2036,Vattenfall Wind Power,250000
Wind Offshore,0.05940076682973993,30,50000,2036,GDF Suez,300000
Wind Offshore,0.05940076682973993,27,50000,2036,K/S Winscales,350000
Wind Offshore,0.05940076682973993,8,50000,2036,EDF Energy Renewable,1000000
Wind Offshore,0.05940076682973993,8,50000,2036,Wind,450000
Wind Offshore,0.05940076682973993,1,50000,2036,High Hedley Hope Wind Ltd,950000
Wind Offshore,0.05940076682973993,8,50000,2036,Fenland Windfarms Ltd,550000
Wind Offshore,0.05940076682973993,7,50000,2036,Fred Olsen,600000
Wind Offshore,0.05940076682973993,20,50000,2036,Kirkheaton Wind Ltd,650000
Wind Offshore,0.05940076682973993,30,50000,2036,Cold Northcott Windfarm Ltd,700000
Wind Offshore,0.05940076682973993,11,50000,2036,Yorkshire Windpower Ltd,750000
Wind Offshore,0.05940076682973993,7,50000,2036,Talisman Energy,800000
Wind Offshore,0.05940076682973993,10,50000,2036,E.On UK,850000
Wind Offshore,0.05940076682973993,11,50000,2036,Beaufort Wind Ltd,900000
Wind Offshore,0.05940076682973993,28,50000,2036,Bares of Doune Windfarm,500000
Wind Offshore,0.05940076682973993,27,50000,2036,HG Capital,400000
Nuclear,0.08496249099671709,10,1000000,2039,British Energy,1000000
BECCS,0.11802206934670041,30,500000,2033,International Power/Mitsui,500000
