,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,22,250000,212500.0,2051,False,Barking Power,250000,212500.0
CCGT,0,25,250000,212500.0,2051,False,Centrica,500000,425000.0
CCGT,0,18,250000,212500.0,2051,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,21,250000,212500.0,2051,False,Cory Energy Company Ltd,1000000,850000.0
CCGT,0,28,250000,212500.0,2051,False,Corby Power Ltd,1250000,1062500.0
CCGT,0,5,250000,212500.0,2051,False,E.On UK,1500000,1275000.0
OCGT,0,30,500000,460000.0,2050,False,Citigen (London) UK Ltd,500000,1735000.0
OCGT,0,27,500000,460000.0,2050,False,Drax Power Ltd,1000000,2195000.0
Hydrogen,0,29,500000,425000.0,2051,False,EDF Energy,500000,2620000.0
Biomass,0,17,14000,12320.0,2050,False,Sembcorp Utilities (UK) Ltd,14000,2632320.0
Biomass,0,26,14000,12320.0,2050,False,E.On UK,28000,2644640.0
Biomass,0,4,14000,12320.0,2050,False,EPR Ely Limited,42000,2656960.0
BECCS,0,22,500000,440000.0,2050,False,International Power/Mitsui,500000,3096960.0
CCGT,75,24,250000,212500.0,2051,False,Derwent Cogeneration,1750000,3309460.0
CCGT,75,24,250000,212500.0,2051,False,EDF Energy,2000000,3521960.0
