,CCGT,OCGT,Coal,Nuclear,Biomass,BECCS,Hydrogen,Net Demand,Curtail,Gen generation
68,23019700.0,672349.0165371224,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
69,19180333.16281658,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
70,15277349.2998425,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
71,13594926.672530401,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
72,16069627.08080341,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
73,16837251.338690743,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
74,18132531.85735646,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
75,19048015.47247037,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
76,19697464.6389094,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
77,21194167.746362735,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
78,23019700.0,1696480.0,1210.0281837823738,8219070.0,105600.0,0,0,0.0,0.0,0.0
79,23019700.0,1696480.0,432955.7519923986,8219070.0,105600.0,0,0,0.0,0.0,0.0
80,23019700.0,1696480.0,649640.0035702575,8219070.0,105600.0,0,0,0.0,0.0,0.0
81,23019700.0,1696480.0,751790.0776761062,8219070.0,105600.0,0,0,0.0,0.0,0.0
82,23019700.0,1696480.0,682144.202116539,8219070.0,105600.0,0,0,0.0,0.0,0.0
83,23019700.0,1696480.0,628541.5348094347,8219070.0,105600.0,0,0,0.0,0.0,0.0
84,23019700.0,1696480.0,548801.1627996367,8219070.0,105600.0,0,0,0.0,0.0,0.0
85,23019700.0,1696480.0,502990.02385277924,8219070.0,105600.0,0,0,0.0,0.0,0.0
86,23019700.0,1696480.0,456936.5921725387,8219070.0,105600.0,0,0,0.0,0.0,0.0
87,23019700.0,1696480.0,477002.07109842356,8219070.0,105600.0,0,0,0.0,0.0,0.0
88,23019700.0,1696480.0,642905.7530455639,8219070.0,105600.0,0,0,0.0,0.0,0.0
89,23019700.0,1696480.0,781431.1659665947,8219070.0,105600.0,0,0,0.0,0.0,0.0
90,23019700.0,1696480.0,745728.4417425399,8219070.0,105600.0,0,0,0.0,0.0,0.0
91,23019700.0,1696480.0,636379.1162112892,8219070.0,105600.0,0,0,0.0,0.0,0.0
92,23019700.0,1696480.0,451149.7143372249,8219070.0,105600.0,0,0,0.0,0.0,0.0
93,23019700.0,1696480.0,209125.71307148077,8219070.0,105600.0,0,0,0.0,0.0,0.0
94,23019700.0,1696480.0,15583.05621198628,8219070.0,105600.0,0,0,0.0,0.0,0.0
95,22314719.813726548,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
96,23019700.0,104365.75023889169,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
97,23019700.0,47868.5152698867,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
98,22627311.25524612,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
99,21889249.039869033,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
100,21500560.531069998,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
101,22679908.51431221,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
102,23019700.0,1696480.0,147116.65474282083,8219070.0,105600.0,0,0,0.0,0.0,0.0
103,23019700.0,1696480.0,591205.6880842467,8219070.0,105600.0,0,0,0.0,0.0,0.0
104,23019700.0,1696480.0,869539.8794618429,8219070.0,105600.0,0,0,0.0,0.0,0.0
105,23019700.0,1696480.0,1010903.7089213795,8219070.0,105600.0,0,0,0.0,0.0,0.0
106,23019700.0,1696480.0,1066485.8276843478,8219070.0,105600.0,0,0,0.0,0.0,0.0
107,23019700.0,1696480.0,1125758.0738730733,8219070.0,105600.0,0,0,0.0,0.0,0.0
108,23019700.0,1696480.0,1127875.387482279,8219070.0,105600.0,0,0,0.0,0.0,0.0
109,23019700.0,1696480.0,1043964.3786579664,8219070.0,105600.0,0,0,0.0,0.0,0.0
110,23019700.0,1696480.0,979408.2263329874,8219070.0,105600.0,0,0,0.0,0.0,0.0
111,23019700.0,1696480.0,924220.5619143228,8219070.0,105600.0,0,0,0.0,0.0,0.0
112,23019700.0,1696480.0,1052620.2035246838,8219070.0,105600.0,0,0,0.0,0.0,0.0
113,23019700.0,1696480.0,1164025.1556943734,8219070.0,105600.0,0,0,0.0,0.0,0.0
114,23019700.0,1696480.0,1042077.4671075466,8219070.0,105600.0,0,0,0.0,0.0,0.0
115,23019700.0,1696480.0,827617.8266199906,8219070.0,105600.0,0,0,0.0,0.0,0.0
116,23019700.0,1696480.0,552852.2937633285,8219070.0,105600.0,0,0,0.0,0.0,0.0
117,23019700.0,1696480.0,211184.19602984024,8219070.0,105600.0,0,0,0.0,0.0,0.0
118,22012943.677629843,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
119,17565931.543585964,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
120,15735016.223922707,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
121,14693299.215656858,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
122,13444263.803237952,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
123,11257481.596214943,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
124,9039478.667764302,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
125,8304744.353585128,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
126,10254274.538199708,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
127,11798753.617340095,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
128,15436446.005400568,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
129,18853525.17817288,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
130,21603942.31565945,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
131,23019700.0,600447.4705833867,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
132,23019700.0,1230686.9723649174,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
133,23019700.0,779790.694488138,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
134,23019700.0,559223.8396366723,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
135,23019700.0,1022379.7744532824,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
136,23019700.0,1696480.0,260845.66993100464,8219070.0,105600.0,0,0,0.0,0.0,0.0
137,23019700.0,1696480.0,519888.5463051041,8219070.0,105600.0,0,0,0.0,0.0,0.0
138,23019700.0,1696480.0,450768.04568565154,8219070.0,105600.0,0,0,0.0,0.0,0.0
139,23019700.0,1696480.0,342879.3007761449,8219070.0,105600.0,0,0,0.0,0.0,0.0
140,23019700.0,1696480.0,185836.30261296078,8219070.0,105600.0,0,0,0.0,0.0,0.0
141,23019700.0,1696480.0,30044.388183118663,8219070.0,105600.0,0,0,0.0,0.0,0.0
142,22567895.40512833,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
143,19739770.68527243,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
144,19052521.079349793,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
145,19598771.10248559,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
146,19188422.69752235,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
147,20704711.70505628,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
148,17796831.15803089,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
149,17550255.33781986,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
150,18447231.24878995,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
151,19833548.296878353,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
152,21650030.29619001,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
153,23019700.0,1696480.0,110444.75170497705,8219070.0,105600.0,0,0,0.0,0.0,0.0
154,23019700.0,1696480.0,339059.5158600744,8219070.0,105600.0,0,0,0.0,0.0,0.0
155,23019700.0,1696480.0,479557.2099381502,8219070.0,105600.0,0,0,0.0,0.0,0.0
156,23019700.0,1696480.0,530358.326508694,8219070.0,105600.0,0,0,0.0,0.0,0.0
157,23019700.0,1696480.0,465359.17032609176,8219070.0,105600.0,0,0,0.0,0.0,0.0
158,23019700.0,1696480.0,484904.72073539335,8219070.0,105600.0,0,0,0.0,0.0,0.0
159,23019700.0,1696480.0,520027.5168536474,8219070.0,105600.0,0,0,0.0,0.0,0.0
160,23019700.0,1696480.0,790646.0701986048,8219070.0,105600.0,0,0,0.0,0.0,0.0
161,23019700.0,1696480.0,988663.9404959886,8219070.0,105600.0,0,0,0.0,0.0,0.0
162,23019700.0,1696480.0,863745.7690460605,8219070.0,105600.0,0,0,0.0,0.0,0.0
163,23019700.0,1696480.0,680119.3629039009,8219070.0,105600.0,0,0,0.0,0.0,0.0
164,23019700.0,1696480.0,405332.7726062742,8219070.0,105600.0,0,0,0.0,0.0,0.0
165,23019700.0,1696480.0,61677.11958565653,8219070.0,105600.0,0,0,0.0,0.0,0.0
166,20435451.542769343,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
167,16307623.46950268,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
168,16990566.208480366,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
169,16400961.847504888,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
170,14575807.004853196,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
171,14046144.060612492,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
172,13310496.21013923,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
173,14463549.258663718,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
174,20567136.886721134,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
175,23019700.0,1696480.0,212900.1271729765,8219070.0,105600.0,0,0,0.0,0.0,0.0
176,23019700.0,1696480.0,406405.183236416,8219070.0,105600.0,0,0,0.0,0.0,0.0
177,23019700.0,1696480.0,491347.60039309395,8219070.0,105600.0,0,0,0.0,0.0,0.0
178,23019700.0,1696480.0,614562.4771524145,8219070.0,105600.0,0,0,0.0,0.0,0.0
179,23019700.0,1696480.0,691912.1409867192,8219070.0,105600.0,0,0,0.0,0.0,0.0
180,23019700.0,1696480.0,733321.7063152741,8219070.0,105600.0,0,0,0.0,0.0,0.0
181,23019700.0,1696480.0,722411.4235344465,8219070.0,105600.0,0,0,0.0,0.0,0.0
182,23019700.0,1696480.0,630819.3660802749,8219070.0,105600.0,0,0,0.0,0.0,0.0
183,23019700.0,1696480.0,939248.4615146172,8219070.0,105600.0,0,0,0.0,0.0,0.0
184,23019700.0,1696480.0,632722.8630177584,8219070.0,105600.0,0,0,0.0,0.0,0.0
185,23019700.0,1696480.0,665066.0649353724,8219070.0,105600.0,0,0,0.0,0.0,0.0
186,23019700.0,1696480.0,572906.5531839089,8219070.0,105600.0,0,0,0.0,0.0,0.0
187,23019700.0,1696480.0,471538.939539591,8219070.0,105600.0,0,0,0.0,0.0,0.0
188,23019700.0,1696480.0,222296.2779785028,8219070.0,105600.0,0,0,0.0,0.0,0.0
189,22568872.745806076,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
190,17678983.164253674,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
191,14663846.789754316,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
192,14835091.310023252,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
193,14831317.369817298,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
194,14482455.461549386,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
195,15008392.814292133,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
196,15701873.661671992,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
197,17017899.53965088,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
198,22263485.576162294,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
199,23019700.0,1696480.0,344397.42344186147,8219070.0,105600.0,0,0,0.0,0.0,0.0
200,23019700.0,1696480.0,543950.2391077398,8219070.0,105600.0,0,0,0.0,0.0,0.0
201,23019700.0,1696480.0,912069.5293692832,8219070.0,105600.0,0,0,0.0,0.0,0.0
202,23019700.0,1696480.0,626767.4008585712,8219070.0,105600.0,0,0,0.0,0.0,0.0
203,23019700.0,1696480.0,673991.9384937419,8219070.0,105600.0,0,0,0.0,0.0,0.0
204,23019700.0,1696480.0,671893.1154159162,8219070.0,105600.0,0,0,0.0,0.0,0.0
205,23019700.0,1696480.0,651729.9301089941,8219070.0,105600.0,0,0,0.0,0.0,0.0
206,23019700.0,1696480.0,590894.2676026364,8219070.0,105600.0,0,0,0.0,0.0,0.0
207,23019700.0,1696480.0,623093.9594366656,8219070.0,105600.0,0,0,0.0,0.0,0.0
208,23019700.0,1696480.0,685934.3489071467,8219070.0,105600.0,0,0,0.0,0.0,0.0
209,23019700.0,1696480.0,741468.9652658775,8219070.0,105600.0,0,0,0.0,0.0,0.0
210,23019700.0,1696480.0,771424.770609538,8219070.0,105600.0,0,0,0.0,0.0,0.0
211,23019700.0,1696480.0,718001.8758123609,8219070.0,105600.0,0,0,0.0,0.0,0.0
212,23019700.0,1696480.0,519626.2395662214,8219070.0,105600.0,0,0,0.0,0.0,0.0
213,23019700.0,1696480.0,168712.74815913843,8219070.0,105600.0,0,0,0.0,0.0,0.0
214,22138106.34877397,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
215,19303581.93199408,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
216,19439537.139029264,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
217,19846308.420587186,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
218,20551029.9158956,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
219,20584277.589445192,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
220,21598590.352543976,0.0,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
221,23019700.0,846924.0158515945,0.0,8219070.0,105600.0,0,0,0.0,0.0,0.0
222,23019700.0,1696480.0,341636.4723365995,8219070.0,105600.0,0,0,0.0,0.0,0.0
223,23019700.0,1696480.0,963933.8093156655,8219070.0,105600.0,0,0,0.0,0.0,0.0
224,23019700.0,1696480.0,1160339.188097128,8219070.0,105600.0,0,0,0.0,0.0,0.0
225,23019700.0,1696480.0,1289572.0237606189,8219070.0,105600.0,0,0,0.0,0.0,0.0
226,23019700.0,1696480.0,1383810.2027392148,8219070.0,105600.0,0,0,0.0,0.0,0.0
227,23019700.0,1696480.0,1432738.3985001605,8219070.0,105600.0,0,0,0.0,0.0,0.0
228,23019700.0,1696480.0,1457003.3362114904,8219070.0,105600.0,0,0,0.0,0.0,0.0
229,23019700.0,1696480.0,1380945.311169265,8219070.0,105600.0,0,0,0.0,0.0,0.0
230,23019700.0,1696480.0,1349376.519549416,8219070.0,105600.0,0,0,0.0,0.0,0.0
231,23019700.0,1696480.0,1367615.9929536355,8219070.0,105600.0,0,0,0.0,0.0,0.0
232,23019700.0,1696480.0,1494600.1832447606,8219070.0,105600.0,0,0,0.0,0.0,0.0
233,23019700.0,1696480.0,1598901.8657373427,8219070.0,105600.0,0,0,0.0,0.0,0.0
234,23019700.0,1696480.0,1584272.2676908274,8219070.0,105600.0,0,0,0.0,0.0,0.0
235,23019700.0,1696480.0,1531022.8459430593,8219070.0,105600.0,0,0,0.0,0.0,0.0
236,23019700.0,1696480.0,1303661.2099600679,8219070.0,105600.0,0,0,0.0,0.0,0.0
237,23019700.0,1696480.0,937167.5810285241,8219070.0,105600.0,0,0,0.0,0.0,0.0
238,23019700.0,1696480.0,537054.4068838259,8219070.0,105600.0,0,0,0.0,0.0,0.0
239,23019700.0,1696480.0,285350.5711850433,8219070.0,105600.0,0,0,0.0,0.0,0.0
240,23019700.0,1696480.0,263506.2182783404,8219070.0,105600.0,0,0,0.0,0.0,0.0
241,23019700.0,1696480.0,205964.03471972977,8219070.0,105600.0,0,0,0.0,0.0,0.0
242,23019700.0,1696480.0,122650.49704395622,8219070.0,105600.0,0,0,0.0,0.0,0.0
243,23019700.0,1696480.0,72296.76688953918,8219070.0,105600.0,0,0,0.0,0.0,0.0
244,23019700.0,1696480.0,46333.2770705376,8219070.0,105600.0,0,0,0.0,0.0,0.0
245,23019700.0,1696480.0,131843.6416283732,8219070.0,105600.0,0,0,0.0,0.0,0.0
246,23019700.0,1696480.0,507458.64936623786,8219070.0,105600.0,0,0,0.0,0.0,0.0
247,23019700.0,1696480.0,1101334.8939320676,8219070.0,105600.0,0,0,0.0,0.0,0.0
248,23019700.0,1696480.0,1313449.3265082112,8219070.0,105600.0,0,0,0.0,0.0,0.0
